Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000247498.9_6	ENSG00000247498.9_6	520.848920627912	-1.91097750502124	0.129111887115582	-14.8009416306534	1.44446207577048e-49	5.31562043883538e-47
ENSG00000247092.6_4	ENSG00000247092.6_4	205.107484353049	-2.71166338537279	0.198640645439043	-13.6511003545089	1.98853056929616e-42	3.65889624750494e-40
ENSG00000237781.3_5	ENSG00000237781.3_5	169.321252728266	-2.44557465395439	0.214546848785035	-11.3987908366099	4.23966530176656e-30	5.20065610350031e-28
ENSG00000225761.1_6	ENSG00000225761.1_6	688.543706753433	-1.04385821354617	0.105811550254068	-9.86525772507559	5.88830370994329e-23	5.41723941314783e-21
ENSG00000258404.1_5	ENSG00000258404.1_5	482.458018619649	-0.933626825613235	0.118905894900412	-7.85181278350564	4.10066319624389e-15	3.01808811243551e-13
ENSG00000203804.4_2	ENSG00000203804.4_2	439.739597247941	-0.901843115213983	0.125003809459877	-7.21452505416205	5.41225422779546e-13	2.84529936546961e-11
ENSG00000228613.1_6	ENSG00000228613.1_6	147.024805962014	-1.45138981192384	0.201138153093922	-7.21588514957728	5.35842689857256e-13	2.84529936546961e-11
ENSG00000261026.1_5	ENSG00000261026.1_5	52.3368254238575	-2.57396242398523	0.370900396518968	-6.93976724787244	3.9274647654747e-12	1.80663379211836e-10
ENSG00000245025.2_6	ENSG00000245025.2_6	95.8051492268005	-1.78745726175622	0.264558327764547	-6.75638252199352	1.41479593710576e-11	5.78494338727687e-10
ENSG00000229261.1_5	ENSG00000229261.1_5	86.9888730647866	1.76856021181702	0.273098690745761	6.47590146619725	9.42475389259495e-11	3.46830943247494e-09
ENSG00000245532.8_4	ENSG00000245532.8_4	4302.02457091767	-0.350821758573838	0.0562690522691797	-6.2347195203427	4.52588256692407e-10	1.51411344057096e-08
ENSG00000267519.6_6	ENSG00000267519.6_6	1142.49008535682	-0.414130273698248	0.0857579069296749	-4.82906228154393	1.37177501750364e-06	4.2067767203445e-05
ENSG00000242125.3_4	ENSG00000242125.3_4	1504.05041569933	-0.359858636314781	0.0783525279104262	-4.59281462783406	4.37307487958893e-06	0.000123791658129902
ENSG00000258077.2_6	ENSG00000258077.2_6	584.905109800192	0.501584796123741	0.112825912805162	4.44565245388197	8.76255131017806e-06	0.000230329920153252
ENSG00000274422.1_5	ENSG00000274422.1_5	72.3124404448337	1.25307442163673	0.287799719333976	4.35398069371502	1.33687485548354e-05	0.000327979964545294
ENSG00000234072.1_5	ENSG00000234072.1_5	60.0581761589071	1.37259474242528	0.319563917043486	4.295211909793	1.74526545494274e-05	0.000401411054636831
ENSG00000275216.2_5	ENSG00000275216.2_5	31.5408074412043	-1.87240729228213	0.442758292708989	-4.22896041274782	2.3477364839743e-05	0.000508215897707378
ENSG00000269967.1_6	ENSG00000269967.1_6	166.464633581237	-0.78459619986454	0.186985592514411	-4.19602488787511	2.71640410873046e-05	0.000555353728896006
ENSG00000273433.1_6	ENSG00000273433.1_6	117.911642819557	0.923833346173036	0.221113910614249	4.17808786252593	2.93970099211507e-05	0.000569373665841235
ENSG00000249007.1_6	ENSG00000249007.1_6	541.984547079073	-0.478662600243814	0.116953143796334	-4.09277241043963	4.26246035337264e-05	0.000784292705020566
ENSG00000236452.1_3	ENSG00000236452.1_3	252.913406971199	0.649631578285112	0.160178239405076	4.05567935256332	4.99887971966576e-05	0.000875994160398571
ENSG00000225377.5_5	ENSG00000225377.5_5	68.5062281023584	1.21364519692275	0.30275203488459	4.00871028789416	6.10512595157343e-05	0.00102122106826319
ENSG00000205622.10_7	ENSG00000205622.10_7	151.076037582045	0.750332930094895	0.195344156225889	3.841082039983	0.000122493163699535	0.00195989061919256
ENSG00000232536.1_6	ENSG00000232536.1_6	276.011605287202	0.563657787554473	0.149984552080598	3.7581056164476	0.000171204619423317	0.00254864673770423
ENSG00000264825.1_5	ENSG00000264825.1_5	43.5961454853224	-1.35962727671308	0.362056655263003	-3.75528872884667	0.000173141762072298	0.00254864673770423
ENSG00000263345.1_5	ENSG00000263345.1_5	23.9164516375155	-1.96762889045164	0.527242769366589	-3.73192200021156	0.0001900243464267	0.00268957536480867
ENSG00000261118.1_5	ENSG00000261118.1_5	29.6320378414022	-1.58650676289361	0.446466390293782	-3.55347411895811	0.000380178603591186	0.00506195462931672
ENSG00000196696.12_7	ENSG00000196696.12_7	244.108609334039	-0.572531509347958	0.161273922214692	-3.55005633574032	0.000385148721795838	0.00506195462931672
ENSG00000233016.6_4	ENSG00000233016.6_4	68.1414017679825	1.03078123411901	0.294179555565962	3.50391865993516	0.000458465371159543	0.00581776746850731
ENSG00000257681.1_5	ENSG00000257681.1_5	65.8181605898887	-0.947682523576068	0.292093507243525	-3.2444491235677	0.00117678037335696	0.0144351725798454
ENSG00000267048.1_6	ENSG00000267048.1_6	173.549906691389	-0.590124298091296	0.183868914752805	-3.209483772092	0.00132973552554107	0.0157852475290036
ENSG00000206573.8_7	ENSG00000206573.8_7	224.932683928622	0.521885980680729	0.165896835957929	3.14584649952624	0.00165606897676306	0.0190447932327751
ENSG00000285867.1_1	ENSG00000285867.1_1	104.202344804685	-0.701810465659398	0.227626808731714	-3.08316260975467	0.0020481320668626	0.0221680176648658
ENSG00000255202.1_5	ENSG00000255202.1_5	30.1538515530317	-1.39340052077288	0.45117044913687	-3.08841264634815	0.00201228842786188	0.0221680176648658
ENSG00000262585.1_4	ENSG00000262585.1_4	82.5775267695778	-0.755360989205862	0.256654041992927	-2.94310965586382	0.00324933302307129	0.0307242603796812
ENSG00000250920.2_6	ENSG00000250920.2_6	16.5685859372582	-1.88021653405223	0.638411011220675	-2.94515053939492	0.00322797564923497	0.0307242603796812
ENSG00000264772.6_6	ENSG00000264772.6_6	243.296917365179	-0.463838806276181	0.155931135975116	-2.97463879407767	0.00293333722962017	0.0307242603796812
ENSG00000263718.2_6	ENSG00000263718.2_6	119.908521054145	-0.62856266293729	0.213189224225421	-2.94837914637122	0.00319445014360057	0.0307242603796812
ENSG00000235831.6_5	ENSG00000235831.6_5	77.9528131230809	0.791770930855786	0.26958355472665	2.93701495129634	0.00331388126447957	0.0307242603796812
ENSG00000249526.1_5	ENSG00000249526.1_5	209.967261799283	-0.488120435568283	0.166331890607367	-2.93461725100277	0.00333959351953057	0.0307242603796812
ENSG00000255847.5_5	ENSG00000255847.5_5	52.6725647398782	0.987115444927536	0.34014634843392	2.90203157985482	0.0037075116348809	0.0332771776008822
ENSG00000180861.9_4	ENSG00000180861.9_4	37.6857047878883	-1.11214496227864	0.385649629329826	-2.88382219946978	0.00392880507514236	0.0344238158964854
ENSG00000285579.1_1	ENSG00000285579.1_1	351.888329618156	0.421571640904982	0.147493221427274	2.85824417437956	0.00425992451558873	0.0360694309911799
ENSG00000270069.1_5	ENSG00000270069.1_5	95.8744116906514	-0.727338344642461	0.254818492513592	-2.85433893540386	0.00431264935764108	0.0360694309911799
ENSG00000271880.1_5	ENSG00000271880.1_5	38.426009592161	-1.07906929030753	0.380227107156726	-2.83795991920888	0.00454028835474645	0.0371294692121487
ENSG00000249859.10_4	ENSG00000249859.10_4	892.210309244553	0.262282927483022	0.0943164056255268	2.78088340775398	0.00542112029422793	0.0433689623538234
ENSG00000223725.6_5	ENSG00000223725.6_5	28.5405358629637	-1.24093627741685	0.450778293285532	-2.75287496292731	0.00590744538353457	0.0462540404498026
ENSG00000261888.1_2	ENSG00000261888.1_2	21.5844032285227	-1.46494734027071	0.537966536972903	-2.72311982175297	0.00646685984702182	0.0495792588271673
ENSG00000267583.5_6	ENSG00000267583.5_6	33.693408181694	-1.13995143075179	0.430180427362536	-2.64993792893113	0.00805065601853262	0.0604620696902042
ENSG00000262903.1_5	ENSG00000262903.1_5	16.8515130911989	-1.66386316618744	0.631516047273967	-2.63471240892414	0.0084208597659269	0.061977527877222
ENSG00000279608.1_5	ENSG00000279608.1_5	43.8939071056142	-0.940554342458649	0.359628506020206	-2.6153498032378	0.00891361149470432	0.0643178241186508
ENSG00000272904.1_6	ENSG00000272904.1_6	39.0286114552554	-0.961500316049202	0.37115681282287	-2.59055009319758	0.00958226745031261	0.0678129696483662
ENSG00000280607.1_6	ENSG00000280607.1_6	22.045054850055	1.42254162624273	0.553282037343748	2.57109671058943	0.010137701251722	0.0699510643469078
ENSG00000262001.1_5	ENSG00000262001.1_5	33.0926433160234	1.08263628789457	0.421786538444017	2.56678719972535	0.0102645583552528	0.0699510643469078
ENSG00000230551.4_6	ENSG00000230551.4_6	37.247154892528	-0.954830516254269	0.380268721734196	-2.5109362450317	0.0120411441463614	0.0777394591763205
ENSG00000272068.1_5	ENSG00000272068.1_5	23.4797674254179	1.29093683593871	0.514125825128405	2.51093559755783	0.0120411662311149	0.0777394591763205
ENSG00000249743.5_5	ENSG00000249743.5_5	65.9300097395636	0.732422812608044	0.290300646550289	2.52298030097968	0.0116364919378724	0.0777394591763205
ENSG00000224699.8_4	ENSG00000224699.8_4	87.4857218252013	0.617770485169169	0.249808955808928	2.47297172821012	0.0133994742716368	0.085017353999351
ENSG00000273151.1_5	ENSG00000273151.1_5	32.8479583752059	-0.999307016776416	0.40774062253912	-2.45083997408313	0.014252330014926	0.0888878914377323
ENSG00000259052.1_6	ENSG00000259052.1_6	28.0926602232897	-1.10364425307672	0.451422146190159	-2.44481637064349	0.0144925909952824	0.0888878914377323
ENSG00000204876.4_5	ENSG00000204876.4_5	99.2751996497242	0.564172806624159	0.235777364040533	2.3928200610775	0.0167194384865693	0.0992379574686692
ENSG00000226419.7_5	ENSG00000226419.7_5	113.650735634137	0.539579432561627	0.225093276729707	2.39713704647677	0.0165237422190538	0.0992379574686692
ENSG00000230061.2_5	ENSG00000230061.2_5	22.7975540311609	1.24182055803923	0.52125816888974	2.38235222420449	0.017202434787043	0.100484063517965
ENSG00000264112.1_6	ENSG00000264112.1_6	57.5528797474863	0.757876467207657	0.323077678723766	2.34580262617167	0.0189861585665348	0.109170411757575
ENSG00000225218.1_5	ENSG00000225218.1_5	36.9266535004618	0.909271497132971	0.388658326747078	2.33951374396948	0.0193088611099903	0.109317859822714
ENSG00000276900.1_5	ENSG00000276900.1_5	18.3420705765528	1.40953488260071	0.604128544816075	2.33317047289967	0.0196391998967432	0.109503417606083
ENSG00000254290.1_5	ENSG00000254290.1_5	36.6613455782748	0.905945706628842	0.38984127638537	2.32388349183756	0.0201317392671571	0.110574329109161
ENSG00000240541.2_5	ENSG00000240541.2_5	29.1195623374954	1.06313798727928	0.459888935541596	2.31172769144198	0.020792694373188	0.112525169549018
ENSG00000234608.7_6	ENSG00000234608.7_6	23.1478346260424	1.17189821789415	0.514564146934839	2.27745797074072	0.0227588917098102	0.121380755785654
ENSG00000241769.7_6	ENSG00000241769.7_6	23.5051565330422	1.13448319007539	0.513870207682571	2.20772322098927	0.0272635730972266	0.143328498568277
ENSG00000272752.6_3	ENSG00000272752.6_3	425.378474774804	0.272849218819568	0.124232761208872	2.1962742851769	0.0280723171368201	0.145501587413377
ENSG00000285314.1_2	ENSG00000285314.1_2	68.324166125555	0.62548325963741	0.287709677755301	2.17400841194291	0.0297045034662888	0.151823017716587
ENSG00000274949.1_6	ENSG00000274949.1_6	46.6831365248535	-0.728610153609832	0.338243175390994	-2.15410156544206	0.0312322078121663	0.155316925336178
ENSG00000254024.1_5	ENSG00000254024.1_5	22.4792758607572	1.14205507668693	0.529620207192628	2.15636613025143	0.0310550872152498	0.155316925336178
ENSG00000215769.8_5	ENSG00000215769.8_5	305.131691561331	-0.306079083844028	0.142633639184431	-2.14591091971128	0.0318800864355747	0.156424957443887
ENSG00000246334.2_5	ENSG00000246334.2_5	66.0419879770802	0.603918460833563	0.286780905694256	2.10585310542751	0.0352171142016595	0.170524974029088
ENSG00000175147.12_5	ENSG00000175147.12_5	37.1987627550342	0.809224065649107	0.387578527631099	2.0878970530053	0.0368071220811382	0.175909362673492
ENSG00000261487.1_7	ENSG00000261487.1_7	40.7474370511932	0.780480678510061	0.376912877922773	2.07071905531966	0.0383850584190689	0.181098737156633
ENSG00000226328.6_5	ENSG00000226328.6_5	48.0429944489767	-0.686926950304497	0.333554523291081	-2.05941428563702	0.0394545684045066	0.183788369276689
ENSG00000257831.1_5	ENSG00000257831.1_5	204.564159221527	-0.347109187131381	0.172055079116748	-2.01743063275598	0.0436505932070266	0.200792728752322
ENSG00000258924.4_6	ENSG00000258924.4_6	51.3371242552603	0.665279094508042	0.333160703056491	1.9968714449352	0.0458391498856958	0.208256878493038
ENSG00000266922.1_6	ENSG00000266922.1_6	15.5164142318731	1.26288478616926	0.63768905868965	1.9804084278383	0.0476576537176458	0.211301404434863
ENSG00000260669.2_6	ENSG00000260669.2_6	44.6175417821118	0.70212656292183	0.353984354367603	1.98349603381818	0.047312049654502	0.211301404434863
ENSG00000205885.7_5	ENSG00000205885.7_5	43.1889826254216	0.712715758422482	0.362773575043083	1.96462975104468	0.0494571059702988	0.214120176436117
ENSG00000263069.5_6	ENSG00000263069.5_6	39.531103107961	0.733545569925948	0.37277121628339	1.96781708963358	0.0490890871273218	0.214120176436117
ENSG00000272610.1_3	ENSG00000272610.1_3	64.497340994885	-0.55659812736832	0.285383252157643	-1.95035315898937	0.0511340407223094	0.218806127741975
ENSG00000267123.6_5	ENSG00000267123.6_5	24.6132974505616	0.964464478509647	0.495954651151929	1.94466263451615	0.0518155954883886	0.21917401310031
ENSG00000259736.1_5	ENSG00000259736.1_5	19.0306254050145	1.19433496519244	0.619595173332486	1.92760534070774	0.0539042340766356	0.221728307722163
ENSG00000226824.6_6	ENSG00000226824.6_6	131.03646105176	-0.39893259878586	0.207235711655106	-1.92501859645594	0.0542270317798769	0.221728307722163
ENSG00000257261.5_7	ENSG00000257261.5_7	157.589714971099	-0.366884722547932	0.190377290133409	-1.92714541892487	0.0539615098185437	0.221728307722163
ENSG00000266877.1_5	ENSG00000266877.1_5	31.7921397921907	-0.81528138391158	0.427825733988422	-1.90563895329785	0.0566970646049256	0.229280437083655
ENSG00000236740.6_6	ENSG00000236740.6_6	44.3607580807656	-0.661005051795771	0.347747570289864	-1.90081860599282	0.0573257761456599	0.229303104582639
ENSG00000267308.1_6	ENSG00000267308.1_6	30.2569753811467	-0.814839731615145	0.433370657037224	-1.88023743274606	0.0600757261156843	0.235190076708211
ENSG00000285650.1_1	ENSG00000285650.1_1	16.4187842355512	-1.14649601536662	0.608803896006678	-1.88319428125678	0.059674043775572	0.235190076708211
ENSG00000229980.4_4	ENSG00000229980.4_4	21.3158165494371	0.983863478793081	0.535064241904554	1.83877635943496	0.0659480867701454	0.255462062435932
ENSG00000242861.1_6	ENSG00000242861.1_6	63.2899341083188	0.530244502582693	0.291193673873364	1.82093414163004	0.068616868568748	0.263031329513534
ENSG00000280152.1_6	ENSG00000280152.1_6	25.6290422305063	-0.90758388151728	0.49986508313609	-1.81565768871715	0.0694228983241582	0.263377593642167
ENSG00000271853.5_6	ENSG00000271853.5_6	35.9546596556777	0.707293119691262	0.39113791534625	1.8082959793482	0.0705604473114334	0.264961679700077
ENSG00000228768.3_3	ENSG00000228768.3_3	37.6097834740031	0.694820549171191	0.385843696113258	1.80078243125485	0.0717371790544824	0.266659413051005
ENSG00000234807.6_4	ENSG00000234807.6_4	51.4125949172967	0.586634009625904	0.326675824653483	1.79576805307882	0.0725314135596656	0.266915601899569
ENSG00000273143.1_5	ENSG00000273143.1_5	19.9747197622763	-0.968575580560871	0.542806624567097	-1.78438422952803	0.0743612518831697	0.27094000686145
ENSG00000249096.6_5	ENSG00000249096.6_5	23.7213950964059	0.93274302018289	0.526794610036741	1.77060091810323	0.0766270891831068	0.272224468601107
ENSG00000236778.7_7	ENSG00000236778.7_7	30.1935087975688	0.757749696578397	0.433735322464049	1.74703248117682	0.0806317040150018	0.272224468601107
ENSG00000254574.1_6	ENSG00000254574.1_6	16.7616592364383	-1.04389314463249	0.593122862949593	-1.75999478327512	0.0784086910889318	0.272224468601107
ENSG00000258526.6_6	ENSG00000258526.6_6	133.311509327745	0.36682263675799	0.208562852752471	1.75881098631378	0.0786096181234056	0.272224468601107
ENSG00000213904.8_5	ENSG00000213904.8_5	245.62479214773	0.290784348284133	0.164520844566609	1.76746204440012	0.0771508801318836	0.272224468601107
ENSG00000267858.5_6	ENSG00000267858.5_6	43.7259338747456	-0.611290483073117	0.345938440630299	-1.76704988887429	0.077219873653085	0.272224468601107
ENSG00000245248.7_6	ENSG00000245248.7_6	72.9515144540932	-0.474450379815704	0.271498227833053	-1.74752661777022	0.0805460318703047	0.272224468601107
ENSG00000259248.6_5	ENSG00000259248.6_5	21.7233962771934	0.936417067099414	0.534870533226283	1.75073594249256	0.0799914051892113	0.272224468601107
ENSG00000228393.3_5	ENSG00000228393.3_5	134.312881729918	-0.356402860897406	0.205350518246034	-1.73558296293362	0.0826376005490977	0.276460336382436
ENSG00000258982.1_5	ENSG00000258982.1_5	30.2724864470492	-0.787966155937299	0.457347140103126	-1.72290605284997	0.0849055155898318	0.281488556189713
ENSG00000259291.2_5	ENSG00000259291.2_5	19.099231021277	0.954254436292359	0.565054206265035	1.68878388252325	0.0912608536384052	0.292548987195448
ENSG00000260630.6_5	ENSG00000260630.6_5	19.0864642857507	1.02823695632586	0.607866247195246	1.69155132575669	0.0907315537715485	0.292548987195448
ENSG00000224812.2_6	ENSG00000224812.2_6	14.313275019432	1.12467688171096	0.666299013101639	1.68794619171887	0.0914215584985775	0.292548987195448
ENSG00000254485.5_6	ENSG00000254485.5_6	61.7832355142355	0.499417389950122	0.294819362280486	1.69397758032929	0.0902695433828047	0.292548987195448
ENSG00000203721.6_5	ENSG00000203721.6_5	63.8067098110448	-0.480419041753448	0.286683443188115	-1.67578230682198	0.0937808410086197	0.294968799069846
ENSG00000242288.9_6	ENSG00000242288.9_6	14.4365364619741	-1.07271036011529	0.639630701237457	-1.67707766065634	0.0935272965474915	0.294968799069846
ENSG00000205890.3_5	ENSG00000205890.3_5	31.236944988219	0.699813153843032	0.421932970718255	1.65858845458733	0.0971987498406837	0.303128304587895
ENSG00000262877.4_5	ENSG00000262877.4_5	14.6640155124942	1.08267355638692	0.661067113835838	1.63776647442756	0.101470417673942	0.313790871462273
