Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000264772.6_6	ENSG00000264772.6_6	5363.81405649639	1.60439754012648	0.0423037770854268	37.9256333751621	0	0
ENSG00000247381.3_5	ENSG00000247381.3_5	8685.27851180834	1.29758039090873	0.034066523852464	38.0896036392888	0	0
ENSG00000247828.7_6	ENSG00000247828.7_6	10576.2802361746	-1.58664828823421	0.0326473943089832	-48.5995382424021	0	0
ENSG00000203804.4_2	ENSG00000203804.4_2	5139.81646913358	1.71737723035553	0.0439415831747874	39.083189686732	0	0
ENSG00000248515.1_7	ENSG00000248515.1_7	7489.5795369509	-1.31807982119056	0.0346315614997596	-38.0600748019899	0	0
ENSG00000235823.2_4	ENSG00000235823.2_4	7511.08956291899	-1.48397799233899	0.0349605443161693	-42.4472221862018	0	0
ENSG00000244879.7_6	ENSG00000244879.7_6	4727.578961083	-1.68108308057819	0.0433203972483299	-38.805809442179	0	0
ENSG00000285875.1_1	ENSG00000285875.1_1	6090.84824178443	-1.70790656140801	0.0379832716276967	-44.9647038872408	0	0
ENSG00000231918.1_6	ENSG00000231918.1_6	22780.379112177	-1.88787373256462	0.0263553257609408	-71.6315840558682	0	0
ENSG00000251574.7_7	ENSG00000251574.7_7	7879.27447533451	-1.35234844276272	0.0349620978423248	-38.6804146839717	0	0
ENSG00000251562.8_3	ENSG00000251562.8_3	42465.2019537531	-0.8426355202818	0.0199406102370865	-42.2572584421025	0	0
ENSG00000257261.5_7	ENSG00000257261.5_7	10443.2410566179	-1.23263125451633	0.0315655221492829	-39.0499244297892	0	0
ENSG00000245532.8_4	ENSG00000245532.8_4	77124.6960960153	-0.895926296060001	0.0182763807841519	-49.0209908975464	0	0
ENSG00000235244.3_4	ENSG00000235244.3_4	4800.8640335127	-1.81092337303408	0.0432412874063336	-41.8794971578212	0	0
ENSG00000230590.10_5	ENSG00000230590.10_5	28027.503376006	-1.66230851136054	0.0225201307985074	-73.8143364367457	0	0
