Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000283907.1_4	ENSG00000283907.1_4	1547.95986348857	7.43795642229432	0.368688367428393	20.1741011634682	1.65342080179834e-90	3.00922585927299e-87
ENSG00000225783.7_5	ENSG00000225783.7_5	308.344478453484	-3.3011824741471	0.395587958204521	-8.34500243417514	7.12124179328683e-17	6.48033003189102e-14
ENSG00000286134.1_1	ENSG00000286134.1_1	1305.86142113211	-2.10511578201775	0.282232392949311	-7.45880286815917	8.73121239394701e-14	5.29693551899452e-11
ENSG00000237813.3_5	ENSG00000237813.3_5	484.37232649983	-2.21679425103795	0.317225739881689	-6.98806550775078	2.78702262438795e-12	1.26809529409652e-09
ENSG00000267193.5_5	ENSG00000267193.5_5	1553.91284866373	-1.82400541016992	0.273482610073262	-6.66954805529058	2.5659235438295e-11	9.33996169953938e-09
ENSG00000231107.1_5	ENSG00000231107.1_5	266.761900476208	-1.84761351322054	0.288162913975016	-6.41169777100716	1.43907913436943e-10	4.36520670758726e-08
ENSG00000259847.1_4	ENSG00000259847.1_4	103.263879565151	-2.11560548792837	0.374117868424284	-5.65491698335318	1.5592161690013e-08	4.05396203940338e-06
ENSG00000259579.1_5	ENSG00000259579.1_5	486.423532847106	-1.45457433349983	0.258724703624543	-5.62209295487562	1.88657698388718e-08	4.29196263834333e-06
ENSG00000249252.5_6	ENSG00000249252.5_6	272.073841449982	-1.8931544507473	0.343489301035638	-5.5115383362432	3.55710929265333e-08	7.19326545847674e-06
ENSG00000230975.1_5	ENSG00000230975.1_5	14034.3363387264	-1.48923150061739	0.274626132564767	-5.42275961398602	5.86858903187262e-08	1.06808320380082e-05
ENSG00000254303.1_5	ENSG00000254303.1_5	1215.47248097439	-1.66825570577936	0.310402558219835	-5.37449083972387	7.67993873851498e-08	1.27068077309975e-05
ENSG00000229563.6_4	ENSG00000229563.6_4	2018.2453812832	-1.37715562450822	0.262455662394231	-5.24719341905307	1.54433741777979e-07	2.34224508363268e-05
ENSG00000230590.10_5	ENSG00000230590.10_5	10097.5647444144	-1.48110429409903	0.2901722268735	-5.1042248600336	3.32153141602989e-07	4.54507586150438e-05
ENSG00000226835.2_6	ENSG00000226835.2_6	65.1676095458659	-2.14731780611755	0.421495397226078	-5.09452255054114	3.49621220115722e-07	4.54507586150438e-05
ENSG00000249684.5_6	ENSG00000249684.5_6	359.408951406193	1.33292845543342	0.264620839721278	5.03712578660616	4.7257424326809e-07	5.73390081831949e-05
ENSG00000265356.2_7	ENSG00000265356.2_7	273.238272934528	-1.64223228962034	0.327308591706567	-5.01738216237416	5.23803089138245e-07	5.95826013894753e-05
ENSG00000215483.10_7	ENSG00000215483.10_7	3416.75818306947	-1.2791633274957	0.257256291260795	-4.97233059384712	6.61527704994333e-07	7.06418273451003e-05
ENSG00000247199.4_5	ENSG00000247199.4_5	910.705540633774	-1.40807668727984	0.283787044525325	-4.96173702938078	6.98655435281212e-07	7.06418273451003e-05
ENSG00000271533.1_6	ENSG00000271533.1_6	107.365866282408	-1.98126249244571	0.405343416433082	-4.88786153203206	1.01937183875872e-06	9.76450919232032e-05
ENSG00000263316.1_6	ENSG00000263316.1_6	335.932607008944	-1.34716085042772	0.288372093619552	-4.67160616521037	2.98853563404805e-06	0.000271956742698373
ENSG00000241743.3_5	ENSG00000241743.3_5	21459.8104761784	-1.42689181670396	0.310272227809538	-4.59883833876317	4.248532930821e-06	0.00036820618733782
ENSG00000271901.1_6	ENSG00000271901.1_6	11579.3673434757	-1.33866346697034	0.29445970863593	-4.54616855111225	5.46312923685694e-06	0.000414287300461651
ENSG00000272369.1_6	ENSG00000272369.1_6	576.583888586776	-1.44085702317444	0.316749276397347	-4.54888812868812	5.39301016424196e-06	0.000414287300461651
ENSG00000224294.1_5	ENSG00000224294.1_5	551.97637372268	-1.40935673987197	0.309729325547678	-4.55028511549521	5.35732734826703e-06	0.000414287300461651
ENSG00000261026.1_5	ENSG00000261026.1_5	532.403834378737	1.18095680368789	0.266138367452688	4.43737900322781	9.1060877891134e-06	0.000662923191047456
ENSG00000243410.1_6	ENSG00000243410.1_6	140.983420111641	1.45968187882422	0.330941765882728	4.41069103179158	1.03041255832758e-05	0.000721288790829306
