Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000229807.11_4	ENSG00000229807.11_4	3170.25895716188	-4.78058953596408	0.0969282452278108	-49.3209128539183	0	0
ENSG00000251562.8_3	ENSG00000251562.8_3	57324.8480620699	-1.6310090420457	0.021250377807609	-76.7520020967203	0	0
ENSG00000176124.13_6	ENSG00000176124.13_6	3648.94243884452	-1.98901053138031	0.0550406350220238	-36.1371290608191	5.9263690420979e-286	2.4673449778601e-283
ENSG00000242125.3_4	ENSG00000242125.3_4	1401.43558356892	2.88977834426181	0.0823876071774765	35.0754008189211	1.59906027703078e-269	4.9930657150286e-267
ENSG00000283907.1_4	ENSG00000283907.1_4	7750.71301284277	11.7855255434394	0.387333926804384	30.4272998770682	2.39235005938137e-203	5.97609044833467e-201
ENSG00000267519.6_6	ENSG00000267519.6_6	4640.0117990477	1.01040332579087	0.0438316015113751	23.0519372085607	1.40654607350355e-117	2.92796007634323e-115
ENSG00000245532.8_4	ENSG00000245532.8_4	6818.34564409865	-0.871956955086918	0.038012115193921	-22.9389222525129	1.90080172603564e-116	3.39157336545502e-114
ENSG00000186594.14_3	ENSG00000186594.14_3	645.999700389646	2.52607794751844	0.117265284109174	21.5415667706621	6.35216594891272e-103	9.91731908773999e-101
ENSG00000286133.1_1	ENSG00000286133.1_1	659.17017501874	-2.7792748998457	0.138804798093893	-20.0229022196025	3.47856421887718e-89	4.82747412153067e-87
ENSG00000260032.2_4	ENSG00000260032.2_4	560.598124376691	-3.12626789791474	0.158037826916227	-19.7817697124621	4.27423495105024e-87	5.33851945386175e-85
ENSG00000261553.5_6	ENSG00000261553.5_6	1908.22520834826	-1.40578798739908	0.0734226641069012	-19.1465129262035	1.03488722901356e-81	1.17506740821631e-79
ENSG00000231969.1_5	ENSG00000231969.1_5	572.777522142733	-2.70415331216981	0.146513626505097	-18.4566676607089	4.60915762138245e-76	4.79736489092223e-74
ENSG00000258077.2_6	ENSG00000258077.2_6	636.889663328701	-2.46627343182551	0.134832773923005	-18.2913497962584	9.69836009631922e-75	9.31788596946362e-73
ENSG00000251652.1_5	ENSG00000251652.1_5	357.45111090853	-4.32471793097107	0.25460528422565	-16.9859708298049	1.04313221294092e-64	9.30622952830859e-63
ENSG00000229848.1_5	ENSG00000229848.1_5	577.628269886896	2.01163354675611	0.120421346112777	16.7049581464749	1.20612596381391e-62	1.00430088586905e-60
ENSG00000225470.7_4	ENSG00000225470.7_4	923.420381240745	-1.60591353037636	0.100529243506268	-15.9745908192	1.92110899950935e-57	1.49966571274198e-55
ENSG00000280693.2_4	ENSG00000280693.2_4	233.273819382579	3.31758093539789	0.208816682543133	15.8875282137126	7.73167019026359e-57	5.68050356919954e-55
ENSG00000271955.2_6	ENSG00000271955.2_6	376.759320050442	-3.12229598836024	0.19700900485968	-15.848493781206	1.43990825577699e-56	9.99136339703034e-55
ENSG00000270069.1_5	ENSG00000270069.1_5	401.007301480031	-2.44391704271979	0.169743995686283	-14.397664157951	5.35220260717343e-47	3.49969311651129e-45
ENSG00000225328.1_4	ENSG00000225328.1_4	645.799824348676	-1.80930810917702	0.125694526619182	-14.3944860436023	5.6039921801622e-47	3.49969311651129e-45
ENSG00000226380.9_7	ENSG00000226380.9_7	1369.05895170464	-1.1924941964842	0.0835963006533702	-14.2649158774243	3.62028229551941e-46	2.15320599385893e-44
ENSG00000227070.1_5	ENSG00000227070.1_5	468.973021179022	-2.00871636650858	0.146408484498188	-13.7199450796408	7.71238016264706e-43	4.37852855597554e-41
ENSG00000261824.6_6	ENSG00000261824.6_6	425.463126028412	-2.09482014355628	0.155593246981506	-13.4634387044142	2.56686703875524e-41	1.39392040495883e-39
ENSG00000257261.5_7	ENSG00000257261.5_7	462.503066656339	-1.94297074673662	0.147121590639386	-13.206564300267	8.04116923239659e-40	4.18475848802639e-38
ENSG00000278909.1_6	ENSG00000278909.1_6	316.070897693381	-2.43272405885041	0.189184560873368	-12.8589988930375	7.65618048729855e-38	3.82502777145435e-36
ENSG00000249526.1_5	ENSG00000249526.1_5	564.087342188967	1.48146805325887	0.117821417322236	12.573843422772	2.94072463855246e-36	1.41267887444308e-34
ENSG00000257337.6_5	ENSG00000257337.6_5	200.413273712324	2.64668385681433	0.21451693024048	12.3378786646225	5.66282612652342e-35	2.61958141926954e-33
ENSG00000258913.1_5	ENSG00000258913.1_5	300.909346830288	2.0552871742642	0.170924172222666	12.0245553776135	2.64005418483985e-33	1.17765274173749e-31
