Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000242125.3_4	ENSG00000242125.3_4	6963.628808333	1.01942000240418	0.0469575570876362	21.7093917492694	1.67256374942496e-104	1.3603518495323e-102
ENSG00000175061.17_3	ENSG00000175061.17_3	8489.67124762187	0.946963461328973	0.0451743180983247	20.9624295660169	1.44519077982183e-97	1.13344248303169e-95
ENSG00000235437.7_5	ENSG00000235437.7_5	2314.37386392205	-1.330311461359	0.0640205043423954	-20.7794592533074	6.64022918029379e-96	5.02825630342247e-94
ENSG00000213963.6_7	ENSG00000213963.6_7	2574.15245706649	-1.27180183078329	0.0643000335701279	-19.7791783327176	4.49962559847854e-87	3.29372593808629e-85
ENSG00000245937.7_5	ENSG00000245937.7_5	5478.77961386714	-1.00998626442125	0.0513645356282203	-19.6631051379807	4.46540930846196e-86	3.16323833592983e-84
ENSG00000272610.1_3	ENSG00000272610.1_3	1508.56713400967	-1.52800880535696	0.0786245494148627	-19.4342456233919	3.9619560747432e-84	2.71889235629253e-82
ENSG00000280870.2_3	ENSG00000280870.2_3	1211.4232060421	-1.61338625090462	0.0841868312937945	-19.1643541645396	7.34628333549223e-82	4.88861763780028e-80
ENSG00000250546.5_5	ENSG00000250546.5_5	1649.56500120876	-1.42940572164689	0.0747549073571564	-19.1212292567981	1.68098716912537e-81	1.08571994805862e-79
ENSG00000214188.9_3	ENSG00000214188.9_3	3786.35326596536	-1.09154583187317	0.0575152065659793	-18.9783867092782	2.57378317601725e-80	1.61486510129539e-78
ENSG00000258892.1_6	ENSG00000258892.1_6	1844.89060062624	-1.29661000532602	0.0706179525879679	-18.360911890087	2.70034423423945e-75	1.64720998288606e-73
ENSG00000235834.1_6	ENSG00000235834.1_6	806.872749046569	-1.84453476765356	0.101287880268255	-18.2108141938444	4.23600305529407e-74	2.51412505660156e-72
ENSG00000187951.11_5	ENSG00000187951.11_5	2463.59937951622	-1.11938324623505	0.0636905843154961	-17.5753332814486	3.806469444603e-69	2.19973865798637e-67
ENSG00000243176.5_5	ENSG00000243176.5_5	664.986023049606	-1.88070449623104	0.110144681085203	-17.074855342095	2.28391087982621e-65	1.28601751079445e-63
ENSG00000258526.6_6	ENSG00000258526.6_6	982.023972870754	-1.55535565300433	0.0926205268836661	-16.792774834437	2.75650129593692e-63	1.51331921146937e-61
ENSG00000227486.1_6	ENSG00000227486.1_6	673.599606525744	-1.88648180205393	0.112927023217368	-16.705317720301	1.19887718178435e-62	6.42130314926447e-61
ENSG00000257815.5_7	ENSG00000257815.5_7	2210.08038774394	-1.07937021617627	0.064865373576632	-16.6401603299347	3.56661869200265e-62	1.86483205896139e-60
ENSG00000226453.1_5	ENSG00000226453.1_5	1082.69635367083	-1.45415093917075	0.088120910906141	-16.5017692647275	3.56298293051575e-61	1.81960709660758e-59
ENSG00000283549.1_5	ENSG00000283549.1_5	2731.64699991127	-0.984406517548177	0.0608352059890527	-16.1815268238809	6.8084901244369e-59	3.39805552574169e-57
ENSG00000274023.1_6	ENSG00000274023.1_6	2237.01074808182	-1.03305627492944	0.0644417858014313	-16.0308449258788	7.78174621779747e-58	3.79749215428516e-56
